iteration,step_time_s,rss_mb,cpu_percent
0,5.222739565000666,1608.49609375,0.0
100,1.1797495749997324,1866.171875,354.0
200,1.1315152440001839,1862.65625,354.8
300,0.9734392749996914,1865.921875,350.6
400,1.424925109000469,1813.8828125,346.9
500,1.8480834049987607,1906.16796875,331.7
600,1.787284649000867,2097.29296875,328.3
700,1.7516780570003903,2111.23046875,328.2
800,1.2452593880007043,2171.68359375,334.4
900,1.8833649489988602,2135.47265625,329.2
1000,1.7514072699996177,2169.87109375,321.2
1100,1.6207033230002708,2195.5546875,326.2
